,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,0,20,1.0
1,20,-1.0,100,2020,-0.01
2,20,1.0,200,4020,0.01
3,20,-1.0,300,6020,-0.06
4,20,0.0,400,8020,0.31
5,20,2.0,500,10020,0.59
6,20,3.0,600,12020,0.6
7,20,0.0,700,14020,0.76
8,20,1.0,800,16020,1.03
9,20,-1.0,900,18020,0.73
10,20,0.0,1000,20020,0.72
11,20,2.0,1100,22020,0.56
12,20,1.0,1200,24020,0.76
13,20,-1.0,1300,26020,0.86
14,20,1.0,1400,28020,0.83
15,20,2.0,1500,30020,0.58
16,20,3.0,1600,32020,0.76
17,20,0.0,1700,34020,0.55
18,20,2.0,1800,36020,0.78
19,20,-1.0,1900,38020,0.86
20,20,2.0,2000,40020,0.86
21,20,0.0,2100,42020,0.9
22,20,2.0,2200,44020,1.12
23,20,3.0,2300,46020,1.03
24,20,0.0,2400,48020,0.87
25,20,-2.0,2500,50020,1.03
26,20,1.0,2600,52020,1.14
27,20,1.0,2700,54020,1.17
28,20,4.0,2800,56020,1.05
29,20,2.0,2900,58020,1.19
30,20,0.0,3000,60020,1.05
31,20,2.0,3100,62020,1.22
32,20,2.0,3200,64020,1.14
33,20,0.0,3300,66020,1.16
34,20,0.0,3400,68020,1.33
35,20,2.0,3500,70020,1.25
36,20,0.0,3600,72020,1.3
37,20,-1.0,3700,74020,1.2
38,20,3.0,3800,76020,1.22
39,20,2.0,3900,78020,1.28
40,20,0.0,4000,80020,1.25
41,20,2.0,4100,82020,1.39
42,20,2.0,4200,84020,1.39
43,20,2.0,4300,86020,1.27
44,20,1.0,4400,88020,1.21
45,20,-1.0,4500,90020,1.46
46,20,2.0,4600,92020,1.55
47,20,2.0,4700,94020,1.47
48,20,2.0,4800,96020,1.17
49,20,1.0,4900,98020,1.19
50,20,2.0,5000,100020,1.27
51,20,2.0,5100,102020,1.25
52,20,2.0,5200,104020,1.33
53,20,1.0,5300,106020,1.26
54,20,1.0,5400,108020,1.42
55,20,1.0,5500,110020,1.39
56,20,0.0,5600,112020,1.41
57,20,2.0,5700,114020,1.53
58,20,3.0,5800,116020,1.46
59,20,2.0,5900,118020,1.69
60,20,0.0,6000,120020,1.13
61,20,1.0,6100,122020,1.45
62,20,2.0,6200,124020,1.54
63,20,0.0,6300,126020,1.51
64,20,1.0,6400,128020,1.52
65,20,0.0,6500,130020,1.58
66,20,-1.0,6600,132020,1.18
67,20,2.0,6700,134020,1.37
68,20,2.0,6800,136020,1.51
69,20,0.0,6900,138020,1.48
70,20,3.0,7000,140020,1.36
71,20,0.0,7100,142020,1.61
72,20,1.0,7200,144020,1.54
73,20,2.0,7300,146020,1.53
74,20,3.0,7400,148020,1.55
75,20,2.0,7500,150020,1.59
76,20,2.0,7600,152020,1.46
77,20,1.0,7700,154020,1.54
78,20,3.0,7800,156020,1.45
79,20,2.0,7900,158020,1.68
80,20,3.0,8000,160020,1.54
81,20,1.0,8100,162020,1.46
82,20,3.0,8200,164020,1.53
83,20,1.0,8300,166020,1.42
84,20,2.0,8400,168020,1.47
85,20,2.0,8500,170020,1.43
86,20,1.0,8600,172020,1.42
87,20,1.0,8700,174020,1.58
88,20,2.0,8800,176020,1.34
89,20,2.0,8900,178020,1.55
90,20,0.0,9000,180020,1.29
91,20,2.0,9100,182020,1.35
92,20,3.0,9200,184020,1.49
93,20,2.0,9300,186020,1.6
94,20,2.0,9400,188020,1.25
95,20,1.0,9500,190020,1.42
96,20,2.0,9600,192020,1.61
97,20,2.0,9700,194020,1.55
98,20,2.0,9800,196020,1.65
99,20,2.0,9900,198020,1.66
100,20,3.0,10000,200020,1.56
